id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,90,Riesenrad,1,"Hans-Peter Petritsch, Dr. Dorothea Lamac","Hans-Peter Petritsch, Dr. Dorothea Lamac (Wiener Riesenrad
Dr. Lamac GmbH & Co. OG)",FALSE,,wienerriesenrad.com / Firmenbuch
,205,Planetarium,1,,Wiener Volkshochschulen,FALSE,,https://www.vhs.at/de/e/planetarium/standorte/planetarium-wien
,89,Minigolf,1,,"Michael Kny, Margarete Kny (AET Amusement Enterprise and Trading GmbH)",FALSE,Kny,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a0b65ce3-076f-474d-a656-b65c9739f676
,94,Dizzy Mouse,1,,Susanna Kleindienst-Passweg (Liliputbahn im Prater GesmbH),FALSE,Kleindienst-Passweg,http://www.liliputbahn.com/unternehmen.htm / Firmenbuch
,94,Sturmboot,1,,Susanna Kleindienst-Passweg (Liliputbahn im Prater GesmbH),FALSE,Kleindienst-Passweg,http://www.liliputbahn.com/unternehmen.htm / Firmenbuch
,97,Liliputbahn,1,,Susanna Kleindienst-Passweg (Liliputbahn im Prater GesmbH),FALSE,Kleindienst-Passweg,http://www.liliputbahn.com/unternehmen.htm / Firmenbuch
,99,Aqua Gaudi,1,,Susanna Kleindienst-Passweg (Liliputbahn im Prater GesmbH),FALSE,Kleindienst-Passweg,http://www.liliputbahn.com/unternehmen.htm / Firmenbuch
,91a,Grand Autodrom,1,Matthias Grumbir; Stand: 2014,Matthias Grumbir,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=f8f7ee0b-2de0-4b1d-95f0-12d2cc55d7b4
,91a,Schokotraum,1,,Adem Oruči,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=364d80d6-8d64-4e93-9e0d-d086eaccd412&StandortID=0&Suchbegriff=Adem+ORUCI&Page=1
,91b,,1,,,TRUE,,
,93a,Pizzeria L'incontro,1,,,TRUE,,
,95,Manner Bar,1,,Susanna Kleindienst-Passweg (Liliputbahn im Prater GesmbH),FALSE,Kleindienst-Passweg,http://www.liliputbahn.com/unternehmen.htm / Firmenbuch
,101,Insider - Indoor Rollercoaster,1,"Karin Koidl, Koidl Vergnügungsbetriebe GmbH, Stand: 2015","Karin Koidl, Koidl Vergnügungsbetriebe GmbH",FALSE,Koidl,Firmenbuch; https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=d3dd0554-1581-4e04-8b82-4cc86a7336ec&StandortID=12&StandortName=Wien+2.+Bezirk+(Leopoldstadt)&Suchbegriff=koidl&Page=1
