gkz,name,nur Caritas?,Kategorie,Kinder insgesamt,Jänner: Kinder in Nachmittagsbetreuung,März: Kinder in Nachmittagsbetreuung,Differenz,Prozentuelle Änderung,Karte-Text,Telefonnummer
40101,Linz,Nein,Alles da,4565,4231,3835,-396,-9.359489482,"Linzer Tarifmodell: Familien zahlen maximal 54 Euro pro Monat. Keine Gebühr für einkommensschwache Familien. Abmeldungen in privaten Kindergärten:  129 Kinder (-6,3 %)",+43732 / 7070 - 0
40301,Wels,Nein,Alles da,1330,629,445,-184,-29.25278219,,+437242 / 235 - 0
40201,Steyr,Nein,Alles da,680,320,178,-142,-44.375,,+437252 / 575
41012,Leonding,Nein,Alles da,897,537,421,-116,-21.60148976,"Es handelt sich um 5 Kindergartengruppen, die weniger benötigt werden; Personalveränderung oder Schließungen lassen sich noch nicht beurteilen",+43732 / 6878 - 0
40705,Gmunden,Nein,Alles da,419,190,120,-70,-36.84210526,,+437612 / 794 - 0
40404,Braunau am Inn,Nein,Alles da,420,178,118,-60,-33.70786517,,+437722 / 808
41812,Marchtrenk,Ja,Alles da,716,265,208,-57,-21.50943396,,+437243 / 552 - 0
41701,Ampflwang im Hausruckwald,Nein,Alles da,n.v.,70,14,-56,-80,,+437675 / 4010
40711,Laakirchen,Nein,Alles da,n.v.,109,64,-45,-41.28440367,,+437613 / 8644 - 0
41713,Lenzing,Nein,Alles da,133,76,32,-44,-57.89473684,,+437672 / 92 9 55
40908,Micheldorf in Oberösterreich,Nein,Alles da,158,92,49,-43,-46.73913043,,+437582 / 61 2 50 - 0
40503,Eferding,Nein,Alles da,211,114,76,-38,-33.33333333,,+437272 / 5555 - 0
40601,Freistadt,Nein,Alles da,245,95,60,-35,-36.84210526,"In Freistadt gibt es ausschließlich private Betreiber für öffentliche Kindergärten. Dies ist die Pfarrcaritas für 11 Gruppen, eine Regelgruppe und eine heilpädagogische Gruppe betreibt die Lebenshilfe. Darüber hinaus gibt es eine private Betriebseinrichtung am Landeskrankenhaus. Antworten beziehen sich auf die 11+1 Regelgruppe.*",+437942 / 72 5 06
41005,Enns,Nein,Alles da,462,200,166,-34,-17,"Es gab 57 Abmeldungen, aber auch einige Anmeldungen. Vor der Einführung der Tarife gab es nur einen 5-Tages-Tarif, mittlerweile auch einen 2- und 3-Tages Tarif. Handelt sich bei allen Zahlen um Kinder ab 2,5 Jahren, da für alle unter diesem Alter andere Tarifbestimmungen herrschen.",+437223 / 82181
41017,Pasching,Nein,Alles da,274,149,115,-34,-22.81879195,,+437221 / 88 5 15
41601,Alberndorf in der Riedmark,Nein,Alles da,137,59,34,-25,-42.37288136,,+437235 / 7155 - 0
40421,Mattighofen,Nein,Alles da,230,64,42,-22,-34.375,"Zahlen der Nachmittagsbetreuung nur für Gemeindekindergärten, Gesamtzahl ist inkl. Caritas-Kindergärten.",+437742 / 2255 - 0
41709,Frankenburg am Hausruck,Nein,Alles da,145,42,20,-22,-52.38095238,Fehlende Flexbilität und Kosten als Gründe für Abmeldungen. ,+437683 / 5006
41344,Rohrbach-Berg,Nein,Alles da,n.v.,70,49,-21,-30,Daten der Caritas Kindergärten.,+437289 / 6255
41002,Ansfelden,Nein,Alles da,563,223,203,-20,-8.968609865,"Es gab zwar nur 20 Abmeldungen aber der Kindergarten hat dafür seine Öffnungszeiten geändert (von 8 bis 14 Uhr auf 7 bis 13 Uhr), weil man gesetzlich ab 13 Uhr zahlen müsste. 80 ehemalige 14-Uhr-Kinder haben sich also umgemeldet auf 7-13 Uhr-Kinder.",+437229 / 840 - 0
41318,Lembach im Mühlkreis,Nein,Alles da,70,32,12,-20,-62.5,,+437286 / 8255
41605,Engerwitzdorf,Nein,Alles da,283,165,146,-19,-11.51515152,"Neben den 19 Abmeldungen hat es 12 Ummeldungen gegeben, diese haben die Anzahl der Kinder in Nachmittagsbetreuung reduziert",+437235 / 66 9 55
41624,Steyregg,Nein,Alles da,170,90,71,-19,-21.11111111,Daten des Caritas-Kindergarten. Zusätzlich sind 9 Kinder seltener in Betreuung. ,+43732 / 64 01 55
40719,Scharnstein,Nein,Alles da,150,41,23,-18,-43.90243902,,+437615 / 2255
41117,Rechberg,Nein,Alles da,45,25,7,-18,-72,,+437264 / 4655
41323,Niederwaldkirchen,Nein,Alles da,81,39,22,-17,-43.58974359,,+437231 / 2515
