"","gkz","name","gemeindedcode","UR_TYP","Einrsumcountstd16","Einrsumcountstd06","einrichtungsdiff","summegewkind16","gemgew16","summegewkind06","gemgew06","diffmin","gemgewtag06","summegewkind","gemgewtag16","difftage","typgmd","typgmdtxt","diffmintxt"
"1",10101,"Eisenstadt","10101",103,7,6,1,390,600,342,585.964912280702,14.0350877192982,45.7719298245614,390,43.7871794871795,-1.98475033738192,"1","städtisch","länger"
"2",10201,"Rust","10201",410,1,1,0,52,588,55,588,0,28,52,25,-3,"4","ländlich","gleich"
"3",10301,"Breitenbrunn am Neusiedler See","10301",310,1,1,0,36,600,53,600,0,53,36,28,-25,"3","ländlich","gleich"
"4",10302,"Donnerskirchen","10302",410,1,1,0,35,486,53,480,6,51,35,26,-25,"4","ländlich","länger"
"5",10303,"Großhöflein","10303",103,1,1,0,67,570,51,528,42,43,67,44,1,"1","städtisch","länger"
"6",10304,"Hornstein","10304",310,1,1,0,96,615,64,549,66,30,96,23,-7,"3","ländlich","länger"
"7",10305,"Klingenbach","10305",410,1,2,-1,36,552,33,516,36,33,36,35,2,"4","ländlich","länger"
"8",10306,"Leithaprodersdorf","10306",310,1,1,0,31,522,38,486,36,45,31,33,-12,"3","ländlich","länger"
"9",10307,"Mörbisch am See","10307",410,1,1,0,47,588,75,588,0,43,47,22,-21,"4","ländlich","gleich"
"10",10308,"Müllendorf","10308",103,1,2,-1,34,600,36,501,99,48,34,26,-22,"1","städtisch","länger"
"11",10309,"Neufeld an der Leitha","10309",310,1,1,0,105,615,94,555,60,27,105,29,2,"3","ländlich","länger"
"12",10310,"Oggau am Neusiedler See","10310",410,1,1,0,50,528,45,482,46,33,50,27,-6,"4","ländlich","länger"
"13",10311,"Oslip","10311",310,1,1,0,31,525,37,480,45,49,31,20,-29,"3","ländlich","länger"
"14",10312,"Purbach am Neusiedler See","10312",410,1,1,0,72,588,75,588,0,49,72,34,-15,"4","ländlich","gleich"
"15",10313,"Sankt Margarethen im Burgenland","10313",310,1,1,0,43,564,75,504,60,54,43,41,-13,"3","ländlich","länger"
"16",10314,"Schützen am Gebirge","10314",310,1,1,0,29,540,36,501,39,48,29,42,-6,"3","ländlich","länger"
"17",10315,"Siegendorf","10315",310,1,3,-2,71,564,96,552.75,11.25,43.15625,71,24,-19.15625,"3","ländlich","länger"
"18",10316,"Steinbrunn","10316",310,1,1,0,61,582,50,582,0,22,61,13,-9,"3","ländlich","gleich"
"19",10317,"Trausdorf an der Wulka","10317",310,1,1,0,45,552,39,501,51,49,45,34,-15,"3","ländlich","länger"
"20",10318,"Wimpassing an der Leitha","10318",310,1,1,0,52,582,29,552,30,49,52,44,-5,"3","ländlich","länger"
"21",10319,"Wulkaprodersdorf","10319",310,1,1,0,61,564,37,525,39,37,61,27,-10,"3","ländlich","länger"
"22",10320,"Loretto","10320",310,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"3","ländlich","gleich"
"23",10321,"Stotzing","10321",310,1,2,-1,45,528,28,255,273,35,45,35,0,"3","ländlich","länger"
"24",10322,"Zillingtal","10322",310,1,1,0,18,510,21,489,21,44,18,30,-14,"3","ländlich","länger"
"25",10323,"Zagersdorf","10323",310,1,0,1,19,528,NA,0,528,NA,19,31,NA,"3","ländlich","länger"
"26",10401,"Bocksdorf","10401",430,1,2,-1,18,594,27,330,264,48,18,28,-20,"4","ländlich","länger"
"27",10402,"Burgauberg-Neudauberg","10402",430,1,2,-1,45,600,35,360,240,44,45,36,-8,"4","ländlich","länger"
"28",10403,"Eberau","10403",430,1,2,-1,28,600,19,366,234,48,28,32,-16,"4","ländlich","länger"
"29",10404,"Gerersdorf-Sulz","10404",430,1,1,0,25,516,20,480,36,48,25,40,-8,"4","ländlich","länger"
"30",10405,"Güssing","10405",430,2,1,1,88,658.977272727273,103,705,-46.0227272727273,28,88,30.2954545454545,2.29545454545455,"4","ländlich","kürzer"
"31",10406,"Güttenbach","10406",430,1,2,-1,11,492,13,456,36,50,11,32,-18,"4","ländlich","länger"
"32",10407,"Heiligenbrunn","10407",430,1,1,0,16,525,11,384,141,52,16,38,-14,"4","ländlich","länger"
"33",10408,"Kukmirn","10408",420,1,1,0,46,600,37,555,45,47,46,47,0,"4","ländlich","länger"
"34",10409,"Neuberg im Burgenland","10409",430,1,1,0,14,492,15,464,28,30,14,40,10,"4","ländlich","länger"
"35",10410,"Neustift bei Güssing","10410",430,0,2,-2,NA,0,16,345,-345,78.375,NA,NA,NA,"4","ländlich","kürzer"
"36",10411,"Olbendorf","10411",430,1,2,-1,44,588,27,384,204,44,44,32,-12,"4","ländlich","länger"
"37",10412,"Ollersdorf im Burgenland","10412",430,1,2,-1,27,600,32,474,126,41,27,35,-6,"4","ländlich","länger"
"38",10413,"Sankt Michael im Burgenland","10413",430,1,1,0,25,513,22,498,15,43,25,37,-6,"4","ländlich","länger"
"39",10414,"Stegersbach","10414",430,1,2,-1,57,585,63,519,66,31,57,15,-16,"4","ländlich","länger"
"40",10415,"Stinatz","10415",430,1,1,0,31,504,34,492,12,43,31,40,-3,"4","ländlich","länger"
"41",10416,"Strem","10416",430,1,2,-1,17,600,22,454.090909090909,145.909090909091,44.8181818181818,17,41,-3.81818181818182,"4","ländlich","länger"
"42",10417,"Tobaj","10417",430,1,1,0,30,588,25,387,201,56,30,41,-15,"4","ländlich","länger"
"43",10418,"Hackerberg","10418",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"44",10419,"Wörterberg","10419",430,1,1,0,9,570,17,300,270,42,9,42,0,"4","ländlich","länger"
"45",10420,"Großmürbisch","10420",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"46",10421,"Inzenhof","10421",430,1,0,1,11,600,NA,0,600,NA,11,27,NA,"4","ländlich","länger"
"47",10422,"Kleinmürbisch","10422",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"48",10423,"Tschanigraben","10423",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"49",10424,"Heugraben","10424",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"50",10425,"Rohr im Burgenland","10425",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"51",10426,"Bildein","10426",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
"52",10427,"Rauchwart","10427",430,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,"4","ländlich","gleich"
