gkz,name,Einrsumcountstd16,sum_0_3_16,summegewkind16,gemgew16,timegemgew16
10101,Eisenstadt,7,73,73,600,10:00
10201,Rust,1,16,16,588,09:48
10301,Breitenbrunn am Neusiedler See,1,15,15,600,10:00
10302,Donnerskirchen,2,32,32,553.6875,09:13
10303,Großhöflein,1,15,15,570,09:30
10304,Hornstein,1,15,15,615,10:15
10305,Klingenbach,1,11,11,552,09:12
10306,Leithaprodersdorf,1,8,8,522,08:42
10307,Mörbisch am See,1,15,15,588,09:48
10308,Müllendorf,1,15,15,600,10:00
10309,Neufeld an der Leitha,1,31,31,615,10:15
10310,Oggau am Neusiedler See,0,0,NA,0,00:00
10311,Oslip,0,0,NA,0,00:00
10312,Purbach am Neusiedler See,0,0,NA,0,00:00
10313,Sankt Margarethen im Burgenland,1,8,8,456,07:36
10314,Schützen am Gebirge,2,15,15,300,05:00
10315,Siegendorf,1,14,14,564,09:24
10316,Steinbrunn,0,0,NA,0,00:00
10317,Trausdorf an der Wulka,1,13,13,486,08:06
10318,Wimpassing an der Leitha,0,0,NA,0,00:00
10319,Wulkaprodersdorf,1,14,14,492,08:12
10320,Loretto,0,0,NA,0,00:00
10321,Stotzing,0,0,NA,0,00:00
10322,Zillingtal,0,0,NA,0,00:00
10323,Zagersdorf,1,10,10,528,08:48
10401,Bocksdorf,1,8,8,594,09:54
10402,Burgauberg-Neudauberg,2,20,20,390,06:30
10403,Eberau,1,7,7,600,10:00
10404,Gerersdorf-Sulz,1,4,4,516,08:36
10405,Güssing,2,25,25,681.6,11:21
10406,Güttenbach,2,15,15,503.2,08:23
10407,Heiligenbrunn,1,3,3,525,08:45
10408,Kukmirn,1,16,16,528,08:48
10409,Neuberg im Burgenland,1,6,6,492,08:12
10410,Neustift bei Güssing,0,0,NA,0,00:00
10411,Olbendorf,1,10,10,588,09:48
10412,Ollersdorf im Burgenland,1,4,4,600,10:00
10413,Sankt Michael im Burgenland,1,6,6,513,08:33
10414,Stegersbach,1,15,15,585,09:45
10415,Stinatz,1,7,7,504,08:24
10416,Strem,1,3,3,600,10:00
10417,Tobaj,1,9,9,588,09:48
10418,Hackerberg,0,0,NA,0,00:00
